Format Version,1.23,Take Name,Halo,Take Notes,,Capture Frame Rate,100.000702,Export Frame Rate,100.000702,Capture Start Time,2025-07-22 12.25.18.502 PM,Total Frames in Take,14479,Total Exported Frames,14479,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Active 2048,Active 2048,Active 2048,Active 2080,Active 2080,Active 2080,Active 2120,Active 2120,Active 2120,Active 2304,Active 2304,Active 2304,Active 2308,Active 2308,Active 2308,Active 256,Active 256,Active 256,Active 274,Active 274,Active 274,Active 289,Active 289,Active 289,Active 3144,Active 3144,Active 3144,Active 4,Active 4,Active 4,Active 548,Active 548,Active 548,Active 550,Active 550,Active 550
,ID,"8008D403B2A","8008D403B2A","8008D403B2A","8208D403B2A","8208D403B2A","8208D403B2A","8488D403B2A","8488D403B2A","8488D403B2A","9008D403B2A","9008D403B2A","9008D403B2A","9048D403B2A","9048D403B2A","9048D403B2A","1008D403B2A","1008D403B2A","1008D403B2A","1128D403B2A","1128D403B2A","1128D403B2A","1218D403B2A","1218D403B2A","1218D403B2A","C488D403B2A","C488D403B2A","C488D403B2A","48D403B2A","48D403B2A","48D403B2A","2248D403B2A","2248D403B2A","2248D403B2A","2268D403B2A","2268D403B2A","2268D403B2A"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
37,0.369997,8.827699,0.488859,-13.774559,7.259963,0.999693,-3.353002,7.120066,0.954566,-2.863654,,,,,,,,,,,,,-8.901959,0.880723,-15.004959,,,,,,,,,,,,
38,0.379997,8.827312,0.488154,-13.774508,7.260038,0.999639,-3.353033,7.120107,0.954602,-2.863545,,,,,,,,,,,,,-8.901874,0.880932,-15.004900,,,,,,,,,,,,
39,0.389997,8.827330,0.488252,-13.774581,7.259986,0.999661,-3.353032,7.120127,0.954743,-2.863619,,,,,,,,,,,,,-8.901947,0.880569,-15.004865,,,,,,,,,,,,
40,0.399997,8.827440,0.488306,-13.774721,7.259957,0.999623,-3.352933,7.120167,0.954600,-2.863605,,,,,,,,,,,,,-8.901787,0.880682,-15.004828,,,,,,,,,,,,
41,0.409997,8.827508,0.488568,-13.774595,7.259950,0.999601,-3.353014,7.120207,0.954458,-2.863588,,,,,,,,,,,,,-8.901753,0.880668,-15.004613,,,,,,,,,,,,
42,0.419997,8.827357,0.488077,-13.774867,7.259943,0.999612,-3.352965,7.120132,0.954588,-2.863616,,,,,,,,,,,,,-8.901697,0.880779,-15.004746,,,,,,,,,,,,
43,0.429997,8.827435,0.488090,-13.774591,7.259937,0.999624,-3.352914,7.120193,0.954550,-2.863601,,,,,,,,,,,,,-8.901644,0.880891,-15.004869,,,,,,,,,,,,
44,0.439997,8.827526,0.488437,-13.774609,7.259759,0.999682,-3.352995,7.120254,0.954515,-2.863587,,,,,,,,,,,,,-8.901713,0.880718,-15.004616,,,,,,,,,,,,
45,0.449997,8.827492,0.488235,-13.774637,7.259861,0.999697,-3.352916,7.120082,0.954532,-2.863647,,,,,,,,,,,,,-8.901661,0.880582,-15.004695,,,,,,,,,,,,
46,0.459997,8.827490,0.488243,-13.774771,7.259764,0.999648,-3.352798,7.120152,0.954676,-2.863499,,,,,,,,,,,,,-8.901612,0.880443,-15.004760,,,,,,,,,,,,
47,0.469997,8.827497,0.488339,-13.774792,7.259819,0.999708,-3.352890,7.120195,0.954592,-2.863638,,,,,,,,,,,,,-8.901808,0.880370,-15.004644,,,,,,,,,,,,
48,0.479997,8.827525,0.488283,-13.774695,7.259789,0.999720,-3.352791,7.120192,0.954498,-2.863551,,,,,,,,,,,,,-8.901741,0.880463,-15.005021,,,,,,,,,,,,
49,0.489997,8.827550,0.488225,-13.774618,7.259760,0.999743,-3.352689,7.120189,0.954405,-2.863463,,,,,,,,,,,,,-8.901834,0.880305,-15.004933,,,,,,,,,,,,
50,0.499996,8.827425,0.488114,-13.774721,7.259746,0.999579,-3.352960,7.120250,0.954649,-2.863586,,,,,,,,,,,,,-8.901930,0.880155,-15.004841,,,,,,,,,,,,
51,0.509996,8.827443,0.487989,-13.774710,7.259700,0.999793,-3.352706,7.120263,0.954540,-2.863579,,,,,,,,,,,,,-8.902005,0.880221,-15.005570,,,,,,,,,,,,
52,0.519996,8.827484,0.488111,-13.774898,7.259752,0.999736,-3.352715,7.120309,0.954630,-2.863579,,,,,,,,,,,,,-8.902026,0.880066,-15.005595,,,,,,,,,,,,
53,0.529996,8.827456,0.488225,-13.774783,7.259602,0.999749,-3.352674,7.120352,0.954722,-2.863578,,,,,,,,,,,,,-8.901999,0.880144,-15.005862,,,,,,,,,,,,
54,0.539996,8.827424,0.488160,-13.774886,7.259644,0.999600,-3.352712,7.120339,0.954545,-2.863538,,,,,,,,,,,,,-8.902072,0.879967,-15.006239,,,,,,,,,,,,
55,0.549996,8.827477,0.488190,-13.774796,7.259689,0.999454,-3.352748,7.120399,0.954580,-2.863551,,,,,,,,,,,,,-8.902152,0.879787,-15.006609,,,,,,,,,,,,
56,0.559996,8.827421,0.488214,-13.774956,7.259386,0.999685,-3.352661,7.120460,0.954617,-2.863563,,,,,,,,,,,,,-8.902236,0.879710,-15.006566,,,,,,,,,,,,
57,0.569996,8.827544,0.488164,-13.774901,7.259596,0.999587,-3.352496,7.120454,0.954526,-2.863572,,,,,,,,,,,,,-8.902249,0.879511,-15.006704,,,,,,,,,,,,
58,0.579996,8.827384,0.488376,-13.774881,7.259474,0.999734,-3.352632,7.120395,0.954623,-2.863622,,,,,,,,,,,,,-8.902262,0.879307,-15.006833,,,,,,,,,,,,
59,0.589996,8.827468,0.488091,-13.774912,7.259512,0.999698,-3.352426,7.120474,0.954505,-2.863472,,,,,,,,,,,,,-8.902367,0.879549,-15.007139,,,,,,,,,,,,
60,0.599996,8.827577,0.488036,-13.774912,7.259584,0.999806,-3.352430,7.120474,0.954593,-2.863450,,,,,,,,,,,,,-8.902255,0.879622,-15.007415,,,,,,,,,,,,
61,0.609996,8.827684,0.487996,-13.774910,7.259654,0.999920,-3.352431,7.120475,0.954683,-2.863428,,,,,,,,,,,,,-8.902328,0.879543,-15.007383,,,,,,,,,,,,
62,0.619996,8.827406,0.488199,-13.774762,7.259501,0.999604,-3.352463,7.120540,0.954575,-2.863494,,,,,,,,,,,,,-8.902411,0.879465,-15.007339,,,,,,,,,,,,
63,0.629996,8.827478,0.488214,-13.774687,7.259412,0.999787,-3.352349,7.120496,0.954524,-2.863496,,,,,,,4.701240,0.522610,2.314288,,,,-8.902286,0.879623,-15.007757,,,,,,,,,,,,
64,0.639996,8.827589,0.488268,-13.774808,7.259412,0.999837,-3.352389,7.120506,0.954604,-2.863557,,,,,,,4.701929,0.522200,2.315117,,,,-8.902190,0.879591,-15.007889,,,,,,,,,,,,
65,0.649995,8.827453,0.488088,-13.774922,7.259452,0.999793,-3.352370,7.120515,0.954688,-2.863616,,,,,,,4.703009,0.522086,2.316105,,,,-8.902224,0.879523,-15.007876,,,,,,,,,,,,
66,0.659995,8.827612,0.488202,-13.774765,7.259483,0.999717,-3.352231,7.120529,0.954405,-2.863559,,,,,,,4.703954,0.521982,2.316112,,,,-8.902307,0.879513,-15.007855,,,,,,,,,,,,
67,0.669995,8.827525,0.488210,-13.774855,7.259522,0.999649,-3.352087,7.120558,0.954556,-2.863511,,,,,,,4.704038,0.522396,2.315819,,,,-8.902391,0.879513,-15.007828,,,,,,,,,,,,
68,0.679995,8.827538,0.488149,-13.774696,7.259349,0.999665,-3.352332,7.120589,0.954709,-2.863462,,,,,,,4.704738,0.522607,2.315353,,,,-8.902565,0.879101,-15.008034,,,,,,,,,,,,
69,0.689995,8.827584,0.488147,-13.774951,7.259417,0.999781,-3.352235,7.120499,0.954471,-2.863524,,,,,,,4.705141,0.522815,2.315516,,,,-8.902561,0.878753,-15.007935,,,,,,,,,,,,
70,0.699995,8.827526,0.487978,-13.774898,7.259563,0.999815,-3.352165,7.120533,0.954569,-2.863519,,,,,,,4.705545,0.523037,2.315639,,,,-8.902562,0.878408,-15.007824,,,,,,,,,,,,
71,0.709995,8.827725,0.488388,-13.774665,7.259501,0.999815,-3.351999,7.120561,0.954601,-2.863483,,,,,,,4.705768,0.523131,2.315209,,,,-8.902642,0.878667,-15.008009,,,,,,,,,,,,
72,0.719995,8.827655,0.488124,-13.774866,7.259480,0.999761,-3.351990,7.120648,0.954581,-2.863548,,,,,,,4.706325,0.522981,2.316462,,,,-8.902688,0.878773,-15.007978,,,,,,,,,,,,
73,0.729995,8.827579,0.487865,-13.775084,7.259455,0.999710,-3.351978,7.120736,0.954565,-2.863612,,,,,,,4.706561,0.523586,2.315167,,,,-8.902716,0.878745,-15.008068,,,,,,,,,,,,
74,0.739995,8.827528,0.488321,-13.774875,7.259379,0.999727,-3.351974,7.120540,0.954539,-2.863626,,,,,,,4.707241,0.523470,2.315949,,,,-8.902747,0.878720,-15.008148,,,,,,,,,,,,
75,0.749995,8.827554,0.488129,-13.774836,7.259378,0.999828,-3.351954,7.120586,0.954618,-2.863600,,,,,,,4.707688,0.523760,2.315973,,,,-8.902766,0.878660,-15.008060,,,,,,,,,,,,
76,0.759995,8.827658,0.488225,-13.774960,7.259548,0.999885,-3.351618,7.120601,0.954578,-2.863501,,,,,,,4.708058,0.524283,2.316100,,,,-8.902766,0.878388,-15.007768,,,,,,,,,,,,
77,0.769995,8.827630,0.488090,-13.774940,7.259410,0.999797,-3.351719,7.120617,0.954542,-2.863400,,,,,,,4.708631,0.524178,2.316442,,,,-8.902691,0.878513,-15.007857,,,,,,,,,,,,
78,0.779995,8.827590,0.488101,-13.774905,7.259595,0.999754,-3.351823,7.120487,0.954583,-2.863710,,,,,,,4.708834,0.524726,2.315454,,,,-8.902431,0.879006,-15.007696,,,,,,,,,,,,
79,0.789994,8.827685,0.488386,-13.775034,7.259783,0.999715,-3.351927,7.120487,0.954589,-2.863682,,,,,,,4.709179,0.525094,2.315966,,,,-8.902170,0.879499,-15.007535,,,,,,,,,,,,
80,0.799994,8.827677,0.488242,-13.774730,7.259699,0.999679,-3.351758,7.120487,0.954599,-2.863652,,,,,,,4.709511,0.524901,2.316238,,,,-8.902515,0.878698,-15.007985,,,,,,,,,,,,
81,0.809994,8.827603,0.488174,-13.774947,7.259757,1.000016,-3.351610,7.120575,0.954702,-2.863811,,,,,,,4.709826,0.524572,2.317203,,,,-8.902326,0.878980,-15.007670,,,,,,,,,,,,
82,0.819994,8.827669,0.488298,-13.774896,7.259709,0.999942,-3.351518,7.120511,0.954553,-2.863745,,,,,,,4.710151,0.524251,2.318166,,,,-8.902144,0.879254,-15.007349,,,,,,,,,,,,
83,0.829994,8.827641,0.488483,-13.774928,7.259825,1.000011,-3.351400,7.120401,0.954604,-2.863900,,,,,,,4.710254,0.524524,2.317997,,,,-8.902541,0.878628,-15.007540,,,,,,,,,,,,
84,0.839994,8.827682,0.488385,-13.774953,7.259898,1.000021,-3.351166,7.120335,0.954423,-2.863806,,,,,,,4.710496,0.524988,2.318112,,,,-8.902470,0.878713,-15.007632,,,,,,,,,,,,
85,0.849994,8.827723,0.488287,-13.774988,7.259978,1.000046,-3.350932,7.120269,0.954245,-2.863710,,,,,,,4.710787,0.525051,2.318650,,,,-8.902263,0.879199,-15.007521,,,,,,,,,,,,
86,0.859994,8.827546,0.488025,-13.775045,7.260073,0.999862,-3.351148,7.120212,0.954485,-2.863947,,,,,,,4.710903,0.525137,2.319180,,,,-8.902059,0.879684,-15.007405,,,,,,,,,,,,
87,0.869994,8.827707,0.488258,-13.775014,7.260037,0.999880,-3.351045,7.120158,0.954535,-2.863933,,,,,,,4.711247,0.525110,2.318984,,,,-8.902332,0.878932,-15.007776,,,,,,,,,,,,
88,0.879994,8.827652,0.488202,-13.774910,7.260217,0.999974,-3.350988,7.120090,0.954529,-2.863914,,,,,,,4.711554,0.525187,2.319518,,,,-8.902161,0.879239,-15.007585,,,,,,,,,,,,
89,0.889994,8.827672,0.488161,-13.774913,7.260144,0.999877,-3.351009,7.120024,0.954527,-2.863892,,,,,,,4.712108,0.524885,2.320822,,,,-8.902090,0.879379,-15.007698,,,,,,,,,,,,
90,0.899994,8.827744,0.488349,-13.774729,7.260266,0.999945,-3.350997,7.120043,0.954618,-2.863998,,,,,,,4.712246,0.525047,2.320910,,,,-8.902137,0.879235,-15.007491,,,,,,,,,,,,
91,0.909994,8.827771,0.488248,-13.774612,7.260393,1.000025,-3.350982,7.120100,0.954510,-2.863962,,,,,,,4.712370,0.525152,2.320798,,,,-8.902185,0.879093,-15.007279,,,,,,,,,,,,
92,0.919994,8.827739,0.488152,-13.774923,7.260442,0.999812,-3.350960,7.120156,0.954407,-2.863925,,,,,,,4.712628,0.525037,2.321431,,,,-8.902061,0.879294,-15.007640,,,,,,,,,,,,
93,0.929993,8.827656,0.488167,-13.774907,7.260373,0.999940,-3.350926,7.120029,0.954582,-2.864044,,,,,,,4.712824,0.525099,2.321253,,,,-8.901995,0.879376,-15.007645,,,,,,,,,,,,
94,0.939993,8.827718,0.488064,-13.774908,7.260561,0.999671,-3.350917,7.120073,0.954448,-2.864046,,,,,,,4.713043,0.525147,2.321156,,,,-8.901931,0.879462,-15.007647,,,,,,,,,,,,
95,0.949993,8.827780,0.488336,-13.774850,7.260734,0.999933,-3.350895,7.120027,0.954685,-2.864084,,,,,,,4.713432,0.524991,2.322118,,,,-8.902070,0.879303,-15.007607,,,,,,,,,,,,
96,0.959993,8.827737,0.487921,-13.774851,7.260660,0.999864,-3.350888,7.120126,0.954527,-2.863965,,,,,,,4.713639,0.524689,2.322670,,,,-8.902013,0.879393,-15.007702,,,,,,,,,,,,
97,0.969993,8.827687,0.487510,-13.774858,7.260591,0.999808,-3.350877,7.120226,0.954372,-2.863843,,,,,,,4.714037,0.524741,2.323523,,,,-8.901959,0.879379,-15.007690,,,,,,,,,,,,
98,0.979993,8.827729,0.488213,-13.774829,7.260841,0.999746,-3.350992,7.120157,0.954593,-2.864033,,,,,,,4.714822,0.524302,2.324044,,,,-8.901904,0.879372,-15.007682,,,,,,,,,,,,
99,0.989993,8.827629,0.487871,-13.774964,7.260848,0.999843,-3.350974,7.120140,0.954397,-2.864006,,,,,,,4.715426,0.524326,2.324798,,,,-8.902016,0.879410,-15.007617,,,,,,,,,,,,
100,0.999993,8.827733,0.488229,-13.774975,7.260926,0.999850,-3.350940,7.120234,0.954499,-2.863954,,,,,,,4.715770,0.523953,2.326037,,,,-8.901965,0.879504,-15.007590,,,,,,,,,,,,
101,1.009993,8.827703,0.487893,-13.774909,7.260754,0.999786,-3.351009,7.120328,0.954604,-2.863901,,,,,,,4.716102,0.523903,2.326170,,,,-8.901955,0.879320,-15.007389,,,,,,,,,,,,
102,1.019993,8.827678,0.488237,-13.775002,7.260912,0.999689,-3.351085,7.120240,0.954390,-2.863900,,,,,,,4.716520,0.523544,2.327205,,,,-8.901951,0.879270,-15.007502,,,,,,,,,,,,
103,1.029993,8.827725,0.488249,-13.774763,7.261075,0.999595,-3.351159,7.120277,0.954450,-2.863904,,,,,,,4.717028,0.523446,2.327282,,,,-8.901946,0.879228,-15.007614,,,,,,,,,,,,
104,1.039993,8.827753,0.487903,-13.774862,7.260892,0.999812,-3.351169,7.120311,0.954510,-2.863906,,,,,,,4.716949,0.523449,2.327280,,,,-8.902035,0.879449,-15.007438,,,,,,,,,,,,
105,1.049993,8.827684,0.488211,-13.774915,7.260767,0.999948,-3.351207,7.120372,0.954388,-2.863864,,,,,,,4.717006,0.523643,2.327008,,,,-8.901977,0.879262,-15.007414,,,,,,,,,,,,
106,1.059993,8.827712,0.488056,-13.774825,7.260761,0.999705,-3.351277,7.120437,0.954257,-2.863822,,,,,,,4.717058,0.523859,2.326672,,,,-8.901920,0.879079,-15.007384,,,,,,,,,,,,
107,1.069992,8.827786,0.488360,-13.774775,7.260783,0.999967,-3.351270,7.120479,0.954389,-2.863830,,,,,,,4.716985,0.523929,2.326773,,,,-8.902020,0.879586,-15.007329,,,,,,,,,,,,
