Format Version,1.23,Take Name,Beautiful_Things,Take Notes,,Capture Frame Rate,100.000702,Export Frame Rate,100.000702,Capture Start Time,2025-07-27 07.11.57.218 AM,Total Frames in Take,17990,Total Exported Frames,17990,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Active 1058,Active 1058,Active 1058,Active 2048,Active 2048,Active 2048,Active 2052,Active 2052,Active 2052,Active 2304,Active 2304,Active 2304,Active 256,Active 256,Active 256,Active 288,Active 288,Active 288,Active 512,Active 512,Active 512,Active 580,Active 580,Active 580
,ID,"4228D403B2A","4228D403B2A","4228D403B2A","8008D403B2A","8008D403B2A","8008D403B2A","8048D403B2A","8048D403B2A","8048D403B2A","9008D403B2A","9008D403B2A","9008D403B2A","1008D403B2A","1008D403B2A","1008D403B2A","1208D403B2A","1208D403B2A","1208D403B2A","2008D403B2A","2008D403B2A","2008D403B2A","2448D403B2A","2448D403B2A","2448D403B2A"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
50,0.499996,-1.888940,1.026740,-21.229095,,,,-6.262451,1.273552,-18.822742,-6.124192,1.207435,-18.779852,,,,,,,-2.221193,1.023799,-21.192762,-1.877034,1.011558,-21.274759
51,0.509996,-1.889232,1.027153,-21.228107,,,,-6.262362,1.273473,-18.822813,-6.124295,1.207357,-18.779810,,,,,,,-2.220778,1.023049,-21.192606,-1.876233,1.011025,-21.275581
52,0.519996,-1.888881,1.026823,-21.228945,,,,-6.262432,1.273503,-18.822748,-6.124324,1.207531,-18.779915,,,,,,,-2.220844,1.023157,-21.192602,-1.877769,1.012219,-21.273857
53,0.529996,-1.888904,1.026911,-21.228962,,,,-6.262408,1.273541,-18.822865,-6.124353,1.207708,-18.780020,,,,,,,-2.220713,1.022842,-21.192537,-1.877722,1.012115,-21.273964
54,0.539996,-1.889158,1.027164,-21.228216,,,,-6.262472,1.273430,-18.822865,-6.124315,1.207635,-18.779888,,,,,,,-2.220579,1.022534,-21.192467,-1.877675,1.012014,-21.274059
55,0.549996,-1.889418,1.027416,-21.227468,,,,-6.262472,1.273539,-18.822805,-6.124362,1.207751,-18.779905,,,,-5.532090,0.614749,2.467580,-2.220964,1.023481,-21.192736,-1.877094,1.011663,-21.274624
56,0.559996,-1.888856,1.026744,-21.228930,,,,-6.262475,1.273651,-18.822746,-6.124408,1.207874,-18.779917,,,,-5.548316,0.599774,2.482112,-2.222713,1.019518,-21.190739,-1.877826,1.012250,-21.273893
57,0.569996,-1.888868,1.026816,-21.228992,,,,-6.262447,1.273583,-18.822821,-6.124390,1.207679,-18.779854,,,,-5.563353,0.589373,2.493574,-2.220943,1.023433,-21.192678,-1.877947,1.012389,-21.273920
58,0.579996,-1.888888,1.026893,-21.229048,,,,-6.262377,1.273653,-18.822903,-6.124322,1.207641,-18.779961,,,,-5.576629,0.586477,2.497535,-2.220922,1.023563,-21.192680,-1.877091,1.011813,-21.274662
59,0.589996,-1.889372,1.027259,-21.228136,,,,-6.262313,1.273721,-18.822985,-6.124299,1.207718,-18.780012,,,,-5.580827,0.585001,2.493729,-2.220968,1.023586,-21.192608,-1.876235,1.011238,-21.275412
60,0.599996,-1.888895,1.026736,-21.229006,,,,-6.262252,1.273578,-18.823044,-6.124271,1.207723,-18.780005,,,,-5.585533,0.585010,2.492510,-2.221203,1.023917,-21.192738,-1.877700,1.012133,-21.273977
